What is your gender?,"Shakespeare famously said, that ""all is fair in love and war."" Do you agree with this?","Consider the following situation:
John is attracted to a woman named Rebecca. John's friend Mark is also interested in Rebecca. Rebecca is extremely beautiful. If John were to begin a relationship with Rebecca, all of his friends would be envious of him including Mark who has strong feelings for her. There is another problem. John knows that his family would not approve of Rebecca because of her skin color. John is unsure of how to proceed. Rebecca has already indicated that she is attracted to him and if John would like to begin a relationship with her all he has to do is tell her how he feels. 
What are your thoughts on this situation? (Be as detailed as you like in your response.)",What are some of the things that people should consider when pursuing a romantic relationship with someone else? (Be as detailed as you like in your response)
Male,Yes,"If he truly loves her for a good reason, then his friends and family should expect them and Mark should instead suport John rather be envious.","you should share similar ideas, or interests, I myself loved a girl who had so many artistic capabilities and amazing stories, you should find someone who is similar, but beauty is a nice + as well. then again, im younger than 20 so heh..."
Female,Maybe,My thoughts are that he should explain to his family that she is no different from them and that she is kind nothing is bigger than there personality.,That they might be putting up a act and you should be aware of this. 
Other,Maybe,I feel like families shouldn't be disapproving of love because of gender or race  and its worryingly common. And friends shouldn't be jealous of other friends relationships,"i dunno, ive never been in a romantic relationship lmao"
Prefer not to say,Maybe,I would tell her how I would feel and tell her my problem with us being together to see if she would understand ,You should be pursuing about a person’s personality and how you feel around them and if you are comfortable with them. Romance isn’t all about looking beautiful 
Male,Maybe,One should never judge people by the color of their skin.,Personality and appearance
Male,Yes,If it is just based on looks it is really a relationship?,"Similar interest to enjoy together, but being open to sharing/being shown other interest they may have. Don't go into something with the intent to crush/destroy their interest. You don't always have to enjoy the same things, sometimes even in a relationship, it should be okay to do things that aren't of the others interest. As long as it doesn't do harm to the relationship. It may seem like having your cake and eating it too, but one should not have to give up everything to just keep something that may not be a good thing alive."
Male,Maybe,"If John loves Rebecca than he should just go for it. And if his family doesn't approve of Rebecca's skin color, that's their problem, it shouldn't get in the way of how John feels. And Mark should just move on, if he is unable to win Rebecca's love, than he should suck it up and move on with his life.","There must always be honesty, loyalty, understanding, communication, and kindness. If you really love someone than prove it, respect them and their needs. Look, I'm not an expert, but all I know is that you should at least try to do whatever you can to make the other happy, but still remember you're just as an important. And deserve to be happy too, it can't be a one-sided relationship."
Prefer not to say,Maybe,"If John and Rebecca's feelings are mutual, they should start little by little. Yes, it is true that Mark also has feelings for her, over time that may change over time and he ends up falling in love with someone else. How much, to John's Family, they should leave behind their Skin Color Prejudices and focus on other more important aspects, such as their son's happiness, and get to know Rebecca beyond what they see, and look more in Personality.","Well, they should consider many things. For example: The Personality of Each One, The Things You Like, Your Future Plans or Your Dreams. In addition to seeing if they can be there and support each other. Have Respect, Dignity, Love, Fidelity and Get families and friends of friends to know each other and get along. beyond the differences that may exist."
Female,Yes,"What could be done is for the three of them to talk, confessing everything, and agreeing if Rebecca has the same feelings for either of them, and if it is with John that he will talk to his family about their relationship.","the fact that the person is clear about what they want, so that in this way they can have good communication to avoid toxicities in the relationship."
Male,Maybe,I think he should because that's how he feels and if he and her are over 18 then leave so he can love her,Someone that has similar interests to you cares about you and consider your feeling and you their's 
Male,Maybe,Ignore what his family thinks and date Rebecca ,"Similar up bringing, have more of a connection "
Male,Maybe,"I feel like John should proceed with that relationship, not only does the girl have feeling for him but it’s not like he’s going out behind marks back, Mark clearly hasn’t made a move and so John can take that opportunity. Also it doesn’t matter the skin color of another person, all that matters is if that person treats you with kindness, love and respect.",Someone who treats you the same way you treat them (I’m talking about in a positive way)
Male,Maybe,John should pursue the relationship with Rebecca.,Good open communication and willingness on both parties to give more than you take.
Prefer not to say,Maybe,"maybe meet her parents first, and then go from there",someone who cares for them as much as they care about the person that they're in love with
Male,Maybe,"I don't think it matters what the family thinks in romantic relationships, although a supportive family is helpful.","Mutual attraction, mutual trust, mutual understanding."
Male,Maybe,"John and Mark should talk it out about since they are both interested in Rebecca to not damage their friendship before John talks to Rebecca. John and Rebecca's relationship should take priority over his family's disapproval, however this may not be possible depending on unknown information. If John still need's his family support to live, either because he is a minor living in their household or cannot financially live on his own, his relationship with Rebecca might need to be secret until he has safe means to live away from his disapproving family.",Romance is complicated. Long distance relationships can be difficult even with internet bridging the gap. How family and friends feel about the relationship. Even things like past relationship history can be a factor in how someone decides to pursue a new romantic relationship.
Male,Maybe,John should tell his parents to suck it. He should tell them that their opinions don't matter. ,"Act casual. Be kind and courteous to the love interest. Be discrete that you like her, but also hint it in a manner they can sort of grasp. Then, when a few weeks or so have passed, it's advised to ask her out, if good progress is made, and she likes you, or is interested in you."
Prefer not to say,Yes,He should tell her about his feelings. what makes him happy is what is most important!,"what makes both parties happy. happy spouse, happy house!"
Prefer not to say,Maybe,"I feel like John should act on his feelings for Rebecca, and that her skin color shouldn't matter. After all, she is just another person. Though this may upset his family, it shouldn't be their concern or even their business to worry about the kinds of people John dates; its John's choice to date the people he chooses. ","People should consider their emotional state, if they're ready or not. If they are, then they should now both sides of the tide when testing the waters of a new relationship."
Male,Yes,Well if he really likes her then yea I'd say he go for it. He could talk it out with his friends about it and try to get a mutual relationship with them. And he should also talk about how his parents would need to accept her since in our modern age skin color doesn't matter as much. That's all I could say.,"Well, if they want to keep the relationship healthy they should tell their mate if there's anything wrong that they would fix. And try being self conscious about what you do with your mate I guess."
Female,Maybe,"I don't give a fuck actually. All this people need is just a conversation and aduquete way to express their feelings and wishes

If they cannot talk, they are stupid af","Alcoholic, narcotic or other form of addiction, mental, emotional and financial instability, failure to pass a trust test - any of this - immediately sweep the person aside. 

Everything else is solvable "
Male,No,"John and Rebecca should be together and be honest about how they feel towards each other. His friends are expected to be supportive and understanding, even if one of them has some sort of attraction to her. If they do not, they were not his friends in first place. The family should understand that John is an adult (supposedly) and he has any right to a relationship as anybody else, as well as have his own family if all goes well. ","Companionship, understanding, intimacy, openness, sharing lifes goals"
Female,Yes,"Love is blind. Actually, it's better to accept whoever the person was from everything he/she had. Somehow, it's struggling if his family couldn't approve her skin color. The only thing I could say is, John could follow his feelings because his decision was on him. Not on his family. That was his only freedom and joy to love Rebecca for the rest of his life. ","Better learn to accept everything from each other and give the best time you ever had for your partner. But yeah, it's sad for me once I learned this lesson when I'm with my 1st ex before. We could accept each other. Unfortunately, I never gave him time to talk, so he was been intrigue with other person."
Male,Maybe,"Most people may have different definitions of the term ""beautiful"". Rebecca may look nice in terms of appearance or physique. Or Rebecca may have such a perfect personality with strong passion, high minded attitude and a great sense of humour. John should think about the impact that can affect him when having Rebecca in his life. If John feels like he is willing to take such a commitment, therefore, John should proceed in telling her about his feeling regardless of the ups and downs that will occur. Such an opportunity may only happen once in a lifetime. ","I believe most people should be mindful when pursuing a romantic relationship. Having a partner in your life is like handling your own with twice the effort. For someone who can handle their life independently, it can be hard to find reasons to even pursue a relationship. ""Why should I spend more time in a relationship where I can just happily live on my own?"". One reason to have a romantic partner is to have a boost in your lifestyle. When starting a business, you may have some sense of encouragement from your partner. When dealing with losses or an unhealthy climate, you can have someone to take care of you. When it comes to starting a family or going on vacation, it all depends on the time and effort that you are willing to share for better contentment. With most people today ""blinded by love"", they will find it difficult to sustain a romantic relationship. Overall, before pursuing this, advice that I'll give would be ""Love yourself first before loving others""."
Prefer not to say,No,i say that john tell Rebecca how he feels and his predicament to shed some light to that john and Rebecca can figure it out ,"they should consider how the other person feels, what their reaction would be, and how happy both people would be."
Female,No,"I think it's a tough situation for John. It all depends on what he values. If it's his friendship with Mark or his family's validation, then he won't pursue Rebecca. But if he values Rebecca as a person, or as a love interest more, then he'll pursue her. Ultimately, he should choose whatever makes him the most happy, or aligns with his morals more.","To be honest, and I know this isn't completely realistic, all that matter is if you love the other person, and they love you back. People can move mountains for someone they love, romantic or not. As long as both parties have a similar passion and dedication for the other, there's nothing they need to worry about. (Besides death lol)"
Other,Yes,"I think John's family should go fuck themselves for being racist. John is a king, he should date whoever he wants. Gold star for not being racist John. Also, dude make Mark jealous, you take Rebecca from him. I want battle.","Make sure that the person you're interested in is nice to you. nothing else really matters. If they're a dick to you, don't go after them."
Prefer not to say,No,If they love each other  then leave them be her skin doesn’t matter,How much communication and care a relationship needs 
Other,No,"It would be best for John to have a conversation with Mark, expressing how he also has feelings for Rebecca and she has expressed interest in him as well. This way, John could ensure that there would be no hard feelings. If Mark were to get upset over John and Rebecca finding happiness, Mark may not be the best friend. As for John's family, while it is difficult, I would say he should choose Rebecca over the ones who are so narrow-minded as to judge someone based on their skin color.","They should consider what they have in common, especially their beliefs are on topics such as religion, politics, science, etc. As well as this, they should consider their differences and decide whether they are irreconcilable or something that they can get over."
Male,Maybe,John should follow his heart and not worry too much on what others believe or think.,"The most important thing I consider is who the person is on the inside. The outside fades away, but the inside can build you up, and make love a great and wonderful thing."
Male,No,"It's a pretty common dilemna, i think John if he can  shouldn't risk his friendship by going out with rebecca, if heis not only attracted by her but deeply oin love with her then he should. Sex is not as valuable  as friendship in many cases. Also John's family seems pretty dumb and he shuld not care about those people think even if they're family. XD",love is not a matter of the mind imo so i can't think of anything special except mutual respect.
Male,Yes,Don't let others get in the way of your life ,Making sure the person you love is happy with the relationship 
Male,Yes,Run away to Mexico and start a new life ,Date with intent not just cause or for sex and be as open as possible 
Male,Maybe,"1. John's parents have no rights to forbid him loving Rebecca.
2. If Rebecca really likes John then they should be together. Mark can be envious, it's his right as human to feel emotion but shouldn't do anything to break their relationship, because it's Rebecca's choice who she likes","Hard question, cannot answer. Personally I was (am) in only one relationship and did never consider anything. It was always doing what heart told me to do, nothing more, nothing less"
Female,Maybe,"Date, who gives a fuck if the parents or friends don’t like her as long and they’re happy and safe and it’s a good healthy relationship who gives a fuck if they’re different skin colors ",Depends on people bro 
Male,Maybe,Tell the Rebecca to Love you.,understanding
Other,Yes,"Life is not a job, it is a gift or perhaps a curse as everything is this world works normaly, no matter how anomally it is in many vision. Whatever choice of decision that puts you in any kind of action, it is normal.

You're not asked to be born in this world, your existence is forced by one singular or many force(s), therefore you're free to do anything you want as the force that forced you to exist does to you, but expect resistance, as many heroes and villains does before you.","Considering something that doesn't exist while you're in present isn't realistic, thoughts could prevent you from start acting."
Other,No,"If your family is racist, you should cut them out of your life. If both parties [John and Rebecca] are interested in each other, then they should pursue a relationship regardless of if others approve or not. Although, if one is only pursuing the other for the attractiveness/making someone else jealous, then the relationship should not be pursued because that is unfair to the 'arm candy'.","The biggest thing is if both parties are actually wanting to be in the relationship--you should never force or otherwise coerce someone into a situation they do not want to be in, which includes any type of relationship. Additionally, you have to be willing to commit to the person and commit to having open communication, otherwise the relationship is almost certainly doomed to fail. "
Female,No,"John and Rebecca are adults free to live by their chosen values. If John is committed to Rebecca, then her happiness and well-being must be prioritized over the envy or prejudices of his friends and family. If he cannot prioritize her, he should not pursue a relationship. The fact that he is unsure is a red flag for Rebecca. ","Do you value the other person? Love is not the euphoria you feel when you are with them. That fades away. Love is not desire. Love is value. Do you value them? Do you feel valued? Can you communicate about emotionally difficult issues? Are you willing to try? Is the other person's happiness and well-being important to you. Do you feel the same from them? If two people don't have this drive, then the day will come when they no longer try to problem solve the challenges that come. "
Female,Maybe,I believe that if John loves Rebecca he should tell her how he feels regardless of his family's disapproval. I also think that he should educate his family about rases that are not their own. ,I think people should consider there potential lover's personally and actions. 
Male,Yes,"I think they should be guided by their feelings, not taking into account the opinion of third parties, the two of them being the only constant.","
'complementation', obviously there would be other variants but I think it should be taken into account when looking for a relationship."
Male,Yes,"1. I don't think there is anything wrong with John engagin in a relationship with Rebecca and all his friends being envious about it. At some point, they will get over it. As Rebecca already expressed feelings or indicated that she is attracted, I don't see how John's friends would still pursue Rebecca. They can maybe even find someone better than her as there are a lot of people in the world.
2. Family not approving of Rebecca is probably not of skin color but of race. As the saying goes, ""same feathers, flock together"" to which I understand the sentiment. The culture differs, and the family may be seeing it from a conservative viewpoint. ","1. Agreement with parents - This is not that popular, but I do believe that parents have a say to your relationship (not completely as it really depends on the situation | ex: your parents are in prison or something - very unlikely for both of them to be).
2. Mutual interest - Purusing someone who doesn't like you at all will go nowhere. I'm not saying that the person should give up. I'm saying that they have to take it step by step and engage the person slowly as they will become interested in you at some point."
Male,Maybe,Tell her how he feels,"Finding out what the other person wants from the relationship, such as marriage, kids, etc. See if the values between the two are compatible and if they're looking for the same lifestyle."
Male,Maybe,this one is hard... John should be nice to his friend and tell his parents to stop being racist.,Being a decent person. 
Male,Yes,My thoughts on this situation are being insecure about one's feeling while not showing your attraction towards them.,"Try to be natural, be more yourself and respond to them."
Male,No,"John should pursue a relationship with Rebecca regardless of Mark's feelings for her or the disapproval of John's family. You can be respectful of other people's feelings without letting them stop you from doing what you believe is the right thing to do. This might be John's only chance in life for true happiness in an intimate relationship and he cannot let others dictate his course of action. The biggest regrets in life, I believe, do not come from failure. They come from not even trying.","Personally, I don't believe there should be many outside things to consider. Individuals need to live their lives as they see fit, not by how someone else sees fit. Family, friends, society, culture pressure people to do things and live their lives a certain way and what is and is not acceptable. Please yourself and follow what you want to follow. It is your life. It is short and there is only one chance at it"
Other,Maybe,John should go after Rebecca-- that his family is racist or that his friend is interested too is not important. All that matters in a relationship are the people directly involved.,"Be kind and understanding, set healthy boundaries, communicate when you are upset."
Male,Maybe,"I'm a simple man, if my religion allow it so I can do it. Thats why we need religion to surpass our boundaries. If Okay situation, I will tell John that I want to be close with Rebecca and compete fairly. As other aspect it will be statdeb by my religion.","Destiny of soulmate, I believe there is (at least) someone (or more for my religion) for each of us. When you know it, you should pursue it. And although it took hard path, I already find my only one soulmate. Hope it help. Out of the box."
Male,Yes,In my opionion John just have to follow his heart and ask Rebecca out. Love shouöd not be corrected by other people.,"People should give a love back in a romantic relationship, but also respecting themself and to be used or abused by a partner."
Female,Maybe,"If that's how he feels then he needs to speak up and tell her and if his parents don't approve then he need to follow his heart if he thinks that they will be together for a long time then it's good to look on the future and if his friend wants her then she gets to pick who she wants to be with and like Martin Luther King Jr said ""You shouldn't be judged by the color of your skin but of your actions.""",I'm sorry but I don't understand the question and I don't too much about love I'm only 13 about to turn 14 in 2 weeks
Other,Yes,"I think maybe John shouldn't care what his family thinks of her, regardless of Rebecca's skin color, he finds her beautiful just the way she is. His happiness should come first.",I feel as if people should consider their own mental health before proceeding with romantic relationships. I've learnt from experience that it's hard to love someone else when you're not happy with yourself.
Female,No,"If you are willing to give up friendship, I think go for it. I would not consider Johns family’s say, since their logic is irrational. 
Also, if you have friends that will envy your love life instead of congratulating, and treats you sorely based on it, I think they are not worth being friends with.",Do their values meet yours? Are they responsible? Can you see a stable future with them? Are they kind? Are the intelligent? 
Prefer not to say,No,"Both John and Mark have the right to feel attracted to Rebecca, and both have the right to begin a relationship with her. John should not feel obligated to do exactly what his parents expect of him (relationship wise) and knowing that Rebecca feels the same way, John should ask her out. Mark, on the other hand, should probably not begin a relationship with Rebecca, because he knows it will upset his friends.","When a person is looking for a partner, they should aim to find someone who makes them feel happy. Personally, I've found that while it is best to share the same interests, sometimes you'll work well with someone who has possibly never even heard of your interests."
Prefer not to say,Maybe,"If you love your family, don't do something that will disappoint them, talk to them, persuade them till they agree to your choice to be in relationship.","Appearance, attitude, principle, environment o.o"
Other,No,"It is a very difficult situation for John and I feel as though no option would be 100% satisfiable. If he were to confess his feelings towards Rebecca, there would be a high possibility he would lose his connection to his family and his friend. However, if Mark was to abandon his friendship with John, it can be argued that Mark was never a true friend to begin with. It can also be argued that Johns family is also equally as problematic, as skin color should not be a concern for them as long as their child is happy. In the end, John should pick what choice makes him happy, and as his family is already morally questionable, the ultimate decision would be keeping his friend or find love. 
I personally would suggest that everything considered, John should confess to Rebecca, as there are more upsides to finding love than keeping bad company.",Communication is key. Listen to other people. Don't react when you're in extreme emotions.
Male,Yes,"Not a problem, if he loves her carry on",importantly is there feelings....
Female,Maybe,Well... it's hard to choose between the object of love and friendship. But if Jhon and Rebecca realy love each other they should be together  despite what family or society thought. And there is another way: Rebecca can finde another person to build relationships. Not Jhon or Mark,"mutual respect, trust, support, understanding,  common interests,  similar views on life"
Female,No,"I think John should try. His parents seem to be quite conservative and they should see more examples of their beliefs being wrong (Idk what other stereotypes are sitting in their heads, but if they see that Rebecca is a good girl and John really loves her, they may reconsider their opinion). John shouldn't ruin his life because of the opinions of other people, including his friend's. Mark may be happy for John or be a rival, but he must back down if Rebecca prefers John.","Upbringing and worldview, because it greatly affects a person's behavior and motives. You will think that your partner doesn't love you if they don't meet you on their knees, but for their culture this may be the norm. If you and your partner are not ready to accept such differences, you'd better find someone else. You also have to consider each other's psychological health if you don't want to become someone who's being manipulated or break an innocent person."
Prefer not to say,Maybe,John shouldn't be pressured by peers against dating Rebecca. ,Opposites don't really attract (unless you're a magnet). 
Male,No,"That depends on how old john is. If he risks his relationship with his family without being able to sustain a life by himself it would make life and thus the relationship really hard. If she is ""the one"" (which i personally think does not exist) go for it. If john has his own household and is not dependent on is family i think that the choice is a no-brainer. Considering the feelings of his friend for his to be girlfriend, it should be talked through with all 3. Maybe they can even form a relationship as a pair of 3. Also if he chooses to go for it, he should NEVER held it against her that he ""left his family"" for her. Yeah that should cover most of the options xP","That after the early stage it becomes ""work"" to keep the relationship functioning. If you can't do it don't even bother and discuss this openly. In my opinion you should be able to discuss everything with the person you have romantic feelings for even though the topic might be awkward to tackle. "
Male,Maybe,"If John has feelings for her and his family lives him, they will come around. ",Compatiblity. Emotional connection. 
Male,Yes,"Life rarely gives you a second chance so I hope John succeeds in his confession with Rebecca. On the other hand, I hope John's expression of sincerity towards Rebecca would be enough to deter his friends' jealousy for romance and envy for love. May his conviction never falter for it is the ultimate form of love.","Overthinking about it rarely provides meaningful results. Many people say that you should just be yourself in pursuit of romance, a topic that has been a subject of debate depending on who you ask. In my humble opinion, I do believe in the saying that nothing is constant in this world except change so if you're to remain your true self, you must endlessly pursuit change (positive ones, of course) till you can no longer do so. Everything else becomes easy when you treat yourself a little bit better than usual. But then again, this is simply the opinion of one man so feel free to think of new ways to succeed in romance."
Male,No,"I can't understand why Mark is in this story. I think Mark will stop being John's friend if John and Rebecca are dating. Well, John is probably no longer a little boy to ask permission from his parents. Now we live in a time when skin color, nationality or race are completely irrelevant. Anyone has every right to meet with whomever they want, if the feelings are mutual.","Any relationship can end at any time if one or both parties treat this relationship irresponsibly. Most relationships, unfortunately, break up when faced with domestic problems. Relationships are a lot of work for both partners. So that in old age one can take care of the other."
Female,No,"Confessing feelings are only a confess, the rest, future will take care of it. It's nice to let life guide us sometimes instead of trying to get control on everything. People will only show their true faces, nothing more, nothing less. Only then he'll be able to make true choices too.","Hapiness, theirs, and the one of people they love. Doing what's right, being kind, empathetic, without forgeting themselves too. Not correcting the behaviour of others, one's freedom stop when the freedom of others begin. If you're unhappy with the way of being of someone, you have the choice to walk off this path or stay."
Male,Maybe,"If they both are attracted to each other and there's no third party, they should go for it. 
","Physical and Mental Attraction, Compatibility and goals "
Male,No,He should do so and tell her what he feels ,Love each other
Male,Maybe,"John must understand what is of great value to him: his friend or girlfriend.
A girl should not be a stumbling block between friends.",Responsibility 
Male,Maybe,I would listen to the voice of my heart,"trust, harmony, understanding, spark/attraction, common outlook on life and future"
Male,Maybe,"If John is able to work out the situation with Mark by explaining that Rebecca is interested in him then the only real obstacle would be his family, if Mark does have strong feelings for her then I’m sure he wouldn’t mind his friend taking Rebecca as it would make her happy and that should be all that counts.","What are their hobbies, who else likes to purse a relationship with that someone, is that someone interested in you."
Male,Maybe,"He should tell how he feels no matter what because he loves her, your friends are less important than your love.","You should care about who you are into, never lie to them no matter really what, and if you do try to be as honest as possible with whoever you like or love, they should be very important to you."
Male,Yes,bros before hoes,"their background, their personality, what they’ve done, and what they want with you, and if they want to work or not"
Male,Maybe,"I honestly feel sick to my stomach with this one. If John should love who he wants, it shouldn't matter what the skin color is. His friends, if they really were his friends, should just accept and move on. As for his parents, John should argue with them about their seemingly racist views.","They should understand any mental conditions like ADD or ADHD, and accept it. It's something that they can't change, and if you do try to change it, you're a terrible partner. 

Also, connect on an emotional level. For men, it's difficult because society doesn't care if men have these problems or not. They tell them to suck it up, brush it off, walk it off, but that's doing more harm because there's a difference between emotional trauma and physical trauma. This is why men are far more likely to commit suicide. We don't a lot, if any, emotional outlets.

Finally, communicate. It's simple, but most people these days are glued to their phones, computers, or videogame systems. Admittedly I am too, but I keep in touch and talk with my significant other. "
Female,Yes,"I feel as though John should continue in a relationship with Rebecca. Considering the color of someone's skin when deciding on pursuing a relationship with them or not is racist and wrong. I am very very white and am currently with a Hispanic (Cuban) man, and we're in a happy relationship together. Even if John's family doesn't like her skin color they'll get over it eventually, but if, say, she was mean and cold, then I'd get it.","I feel like mainly you should look for personality, and after personality comes physical attraction."
Male,Maybe,"My thoughts are that John will be put in a dilemma whether if he pursues what he's thinking of her or politely give up. Because knowing his family, he should put himself and his family first over a girl he has a crush on because I feel like John's taking this relationship with Rebecca way too fast when he doesn't even know the girl all too well. Rebecca could be using him for her own selfish agendas and if I were John, I would politely decline Rebecca's offer knowing that I should focus more on myself before thinking of things like relationships.","They should prioritize on how well they know that person they have a crush on. It's important to establish trust first and strengthen bonds to make sure that the relationship isn't one sided and toxic. Also, be aware from gold diggers or those that just takes advantage of you for their own benefits. It's important that a person must first pursue his goals first, or at least maintain a good friendly relationship with the person they're romantically attracted to. It will take a lot of time but as long as you're able to fully know that person. That could be a sign that this might be the right time for you to pursue a relationship with him or her."
Male,No,"Although the conflicts presented here would certainly feel tense and would take much courage to face, I feel that the answer is very simple.
 If John feels that his love is worth the damage it could cause his family and friends, then he should of course be with Rebecca.
 There might be some level of self-sacrifice necessary for good love, but John's family and friends should not be owed large portions of his right to determine life and happiness. 
 Mark should be able to move on, even if it might take him some time away from Rebecca to do so.
  In matters of racial biases, it's common for racist beliefs to not be as hard-set as one may think; maybe merely having gone unchallenged. I believe and I would hope that after meeting Rebecca and spending time with her, John's family members might go through a period where those beliefs were tested. Some of them may be able to adapt their worldview, and accept Rebecca and John's love with open arms.","I don't think I can come up with a supremely unique answer in this regard. I think most emotionally mature adults understand what is both desirable traits to seek in a partner, as well as how a functional relationship is maintained afterward.
 Being attracted to someone physically is probably at least a little important, and sexual incompatibility is a very common cause for relationships to fall apart.
 One should seek to discover the virtues present in someone. Depending on how casual the relationship you're seeking is, this will be less important. 
Usually, the thing that makes you first take notice of someone is very mundane or nebulous. They're pretty, or you just wanted to say hello.
 But it's only after having examined their character and observed how they engage with life, that the feeling of love emerges."
Prefer not to say,No,"I believe that the mutual feelings between those two people are important, and both must evaluate how they value that compared to other relationships.","I identify as Aro/Ace, and I am not knowledgeable or educated on the pursuit of romantic relationships."
Female,Maybe,"I think he should tell her how he feels, he deserves a chance at that happiness in being with her. It has risks, and there will most-likely be some pain and damage control needed afterwards. It would be nice of him to try to spare everyone who could be hurt by his decision, but he still has to think about himself too.","If the person makes them happy, and if they have fun and see themselves still being with this person down the road. "
Female,Maybe,I don't know but his family shouldn't be in their relationship. ,"Trust, stable life, joy, someone to be there and you do the same thing."
Male,No,"(Firstable, I am non-native english, so my english is not perfect.)
I think that everyone should respect the relation between John and Rebecca. If they are John's friends, they have to respect him. For Mark, he should understand that John and Rebecca are in love, he should be happy for both of them. I know feelings are hard, but we have to make the right thing.
And for the family... You can't judge someone for their skin, nor sexuality nor tastes... The only important is our being, our attitude. My opinion is that this is so preposterous, but not for John nor Rebecca, but the others. And of course they all should respect what Rebecca wants, if they like her. And about she's handsome and everyone loves her... Is just a shape, no one is handsome nor ugly by the face nor body, but by the brain and heart. Is not nice to ""love"" someone just for its aspect. That's not love, love is to take care of that person, love is empathy. :)
A bit long, but I think I'm done with this one. :D","""With someone else""? I don't know if this means to cheat on someone, which is bad, but I'll take the answer as no cheating.
Firstable, if you want to have a relation with someone, you have to be FRIENDS first. The best relations are those which starts with Friendship, if you meet someone and then you have a relation, you don't know that person, you don't know everything about that person, you can get hurt, VERY hurt. And that happens a lot in this world... ""Seek boy/girlfriends"". That sentence should not exist. You can love a friend, a lot, and when you both take care of each other, respect tastes... that love can increase even more, and if both want to, a relation starts. That's the real love, is very hard to cheat on someone in that way. Y'know?
So that's all. :D

PD: About ""Shakespeare famously said, that ""all is fair in love and war."" Do you agree with this?"" I said ""No"", because wars are not fair, I don't care if there are no rules in war, a lot of innocent people die by the fault of wars... Nothing is fair in war in my sight. And about the love... Not everything can be fair, depending on what you mean, but only if it's true love, then you act well and fair. :)"
Male,No,"Well, I think he should try to explain that God created humankind regardless of skin color, and that HE - God - wouldn't love her any less because of her appearance.","Three Things: 
1. Is she religious or does she have a good temperament?
2. Does she like some of the things you like?
And 3. Is she old enough to marry...or am I too old or young...or vice versa?"
